annotation_id,platform,source_file,query,video_title,title,text,clean_slang_hits,slang_span,normalized_meaning,normalized_sentence,health_category,literal_or_nonliteral,ambiguity_level,requires_visual_context,requires_audio_context,requires_emoji_context,requires_comment_context,keep_final,notes
yt_0013,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",I Take Mounjaro… These are my Side Effects,,I had the tiredness first time around. I've restarted and I don't get it this time. 3 weeks in. I'm working out hard as well. First time I was also on statins that have a similar brain fog side effect. I almost had to stop first time around but this time it's so far so good on 2.5. I do find TV boring now and play Marathon on PC as it's high dopemean game. I will buy a 5mg pen and do half dose going forward. When I came off I regained and I was still eating pretty good. Make sure you hydrate and eat enough protein.,['brain fog'],,,,,,,,,,,,
yt_0014,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Doctor Explains The REAL Side Effects of Ozempic &amp; Mounjaro (not what you think),,"Hello Dr. I am a 350 lb man, started Tirzepatide at 370, 6 weeks ago…. But , in the last 4 weeks I have not dropped a single pound, even though I am eating 1800 calories per day, and 100+ grams of protein. I weigh my food, drink only water (one cup of coffee each morning), I am very active also, yet I don’t understand this stall! 

I have ate a low calorie 1200-1600 diet in the past and lost over a 100 lbs several times, but I’ve never stalled like this for 4 full weeks?? 

The medicine has made it hard for me to even get 1800 calories in each day, as I fill up so quickly, and haven’t been hungry since I started! 

Any thoughts on why the stall, and how long is a normal expectation before losing should pick up again? 

By the way I’m on 5mg currently for 2 more weeks, then to 7.5, and no side effects so far!",['ate'],,,,,,,,,,,,
yt_0015,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",WARNING Do NOT take Ozempic or Mounjaro until you watch this,,"This drug has been life altering for me. Was thin all my life-- active and ate healthy.  Started gaining weight in my mid 40s and couldn't lose it. My thyroid was removed and that made it worse. My endo said i was heading towards diabetes. Since taking this med I've been able to lose a lot of weight and be more active, able to enjoy riding my bike again, go to the gym. Working on breaking my sugar addiction too. But I'm fortunate that I can drive down to Mexico to buy it. Otherwise I'd never be able to afford it.",['ate'],,,,,,,,,,,,
yt_0016,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",What Happens When You Stop Taking GLP-1 Medications?,,Your hunger increases more then you ever were hungry ever  I know others who stoped and ate and ate never got full,['ate'],,,,,,,,,,,,
yt_0017,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",What Happens When You Stop Taking GLP-1 Medications?,,"Here’s what you need to know your hunger comes back 10 times over hungrier than you’ve ever been in your entire life. I’m in the middle of writing a book. Nobody can go to the bathroom. People  are living on laxatives cause they cannot poop that’s not funny whoever is laughing just wait till  you go   off this medicine you’ll see cause I see it all the time it’s not a normal diet medication. It’s for people that have high blood sugar and then they give it to people that don’t when you’re done taking it. Your brain will think oh my God I gotta eat. I have to eat eat eat eat. ,everyday my sugar would drop low. I had no energy I was weak. The shot whether you’re diabetic or not your blood sugar is getting lowered by the medicine that it is made to do for diabetics. The reason people asking for to get increased, their dosage is because the one they were taking isn’t working anymore. They’re still hungry and they’re eating once you reached your level and there is no more level to go and you have to get off it and there’s no micro dosing. You can’t microdose something that you’ve had 2 mg or higher and go low for a little bit. It does not work 100% you will gain all of your weight back. There are  lawsuits now with Ozempic Wegovy and I don’t know either which ones cause everyone has complications. The food that you ate two weeks ago was still in your upper stomach, so that’s why nobody can go to the bathroom nobody they’re living on laxatives mineral oil, MiraLAX, all of it. Slows the digestion  system to slow",['ate'],,,,,,,,,,,,
yt_0018,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Oprah on why she turned to weight loss drugs,,"My dad ate nothing and was still grossly overweight.  Yeah, something else is going on.",['ate'],,,,,,,,,,,,
yt_0019,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",STOP Doing These 5 Things on Ozempic &amp; Mounjaro,,I started at 2.5 and am on my second week of 5 and I feel like I'm dying on the daily. I'm heading back to the doctor office tomorrow to go back down. I've lost 30 lbs already in the month and a half since I've been on it.,['dying'],,,,,,,,,,,,
yt_0020,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",STOP Doing These 5 Things on Ozempic &amp; Mounjaro,,"Day 2 had 2 plates of Chinese food and I’m just about dying from feeling full,  and bg is through the roof.  Not doing that again even if I hadn’t eaten much earlier.  Luckily they were small plates.  I know I shouldn’t eat that but hubby came home with it for dinner.  I did go for a walk earlier too.",['dying'],,,,,,,,,,,,
yt_0021,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",What happens to your body when you stop taking weight-loss drugs l GMA,,"My wife lost 25 pounds in the last 8 months and didn't realize she was on a diet. We just ate chicken, beef, blueberries, oats and low calorie drinks. No starving and I got kind of ripped lol. Weight loss is effortless with a high protein diet.",['ate'],,,,,,,,,,,,
yt_0022,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Beware of this new problem with Ozempic !,,My mother is dying from this. Her stomach has been paralyzed for almost a year. Stomach paralysis and death are not good tradoffs people. You don’t have an ozemoic shortage in your system.,['dying'],,,,,,,,,,,,
yt_0023,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Beware of this new problem with Ozempic !,,"I work in medical laboratory science. The organization I work for passes these drugs out like candy. MANY of my coworkers are on it. Not only have I seen changes in their body, but I have seen changes in their mental state as well. My observation has been they are less friendly(happy), seems to be more brain fog of sorts (mistakes in work), and their overall demeanor is.. different. I’m not talking about one person, I have seen these changes in several people over time. This is only surface level. I genuinely can’t imagine all that’s happening internally that can’t be seen.",['brain fog'],,,,,,,,,,,,
yt_0024,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Beware of this new problem with Ozempic !,,Im a Canadian funeral director.  Dealt with a few people now who have had medical assistance in dying because ozempic destroyed their gastrointestinal systems.  Doesn't seem worth the risk...,['dying'],,,,,,,,,,,,
yt_0025,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Beware of this new problem with Ozempic !,,"Reminds of Adderall prescribed for ADD & ADHD. Kids and adults abused for other supposed benefits like studying better then dying from heart attacks. Most parents with kids actually prescribed Adderall in limited doses always hoped to use less during day at school and no meds in evening or on weekends. Many abusers of the med took way too many, became addicted in mind and body, and had adverse reactions - heart (cardiomyopathy) & brain (psychoses).",['dying'],,,,,,,,,,,,
yt_0026,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",This is what happens when you stop taking Ozempic,,"I am forewarning you....I have just quit my job at an Endocrinology office. In all my years, I have NEVER, EVER, EVVVER been subjected to patients(in such a HUGE amount)as rude, stupid/full of brain fog, or argumentative, mean,& nasty, as I have, with THAT office! 
It is the most craziest, weirdest thing, & observation I've dealt with. 

This drug, & Wegovy, & Jardiance, are going to show the most volatile mood swings in your friends, & loved ones in the near future. Mark my words. It's going to get UGLY. 🥺😩😞",['brain fog'],,,,,,,,,,,,
yt_0027,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Comparing 2.5mg 5mg 7.5mg Mounjaro. My experience on each dose.  #weightloss #shorts #tirzepatide,,"Currently on 7,5mg and dying… the other doses were fine",['dying'],,,,,,,,,,,,
yt_0028,youtube,data_raw/youtube_comments.jsonl,"""semaglutide nausea"" #shorts",My personal tricks to avoiding nausea with glp-1. #weightloss #diabetes #pcosweightloss #glp1,,I’m not on Ozempic but I am currently in a calorie deficit state and I think I didn’t eat enough yesterday lost 2 lb from the day before and then ate a high fat meal yogurt and cereal with milk too fast and as my first meal the next day… Thank you for the reminder that high fat content meals can make you nauseous. I hate being nauseous!,['ate'],,,,,,,,,,,,
yt_0029,youtube,data_raw/youtube_comments.jsonl,"""semaglutide nausea"" #shorts",Ozempic Nausea Getting Worse? Try These 5 Fixes,,"I just started and  it is amazing , so much  more energy , feel amazing , i have Hashinotos and this is the best i have felt in 10 years .Brain fog gone , no nausea, no vomiting.",['brain fog'],,,,,,,,,,,,
yt_0030,youtube,data_raw/youtube_comments.jsonl,"""semaglutide nausea"" #shorts",Ozempic Nausea Getting Worse? Try These 5 Fixes,,"I took my first Ozempic shot yesterday. I am at the point where I can’t even take any solid food. And believe me, I was eating bland food and a smaller portion. I couldn’t even eat toast. I just ate an apple because I was desperate to have something.I called my doctor today and he never called me back. Which makes me even more upset. Hopefully I hear from him tomorrow. I’m just afraid I’m going to be throwing up every day for the next week until I can stop taking this medication.",['ate'],,,,,,,,,,,,
yt_0031,youtube,data_raw/youtube_comments.jsonl,"""semaglutide nausea"" #shorts",Ozempic Nausea Getting Worse? Try These 5 Fixes,,"Im T2D in obese , I started my journey at 208lbs. Im not 197 at week 4. I took my 5th dose Thursday, that was also my last weight check. I could not tolerate taking Ozempic, Victoza and Trulicity. I am currently taking Mounjaro and feel great! the only side effects i had were headache the first week, sulfur burps that still continue but was not often , like maybe 1 burp every 2 hrs or sometimes 1 an hr. skip some hours and repeat, the more im on it the less they get. I had severe diarreah from the others, but i am constipated with Mounjaro. I am using Miralax. I am so happy i can get full after a very small normal amount of food where i never could feel full before. I think its aomething some diabetics get. And i am not having cravings like i used to for a bunch of junk. I can enjoy a few bites of something delicous and stop eating it! I never could do that before. I am so blessed. I did take Trulicity fighting the nauseau and then eventually got diarreah every 3rd day of my shot after about 6 months i had to stop. That was the longest i was on one but has the sick feeling from day 1. Mounjaro doesn't make me feel sick like the others did. I am hoping the Mounjaro continues to work for me because none of the others took away my cravings or made me feel full so i prob over ate on them.",['ate'],,,,,,,,,,,,
yt_0032,youtube,data_raw/youtube_comments.jsonl,"""semaglutide nausea"" #shorts",Tips to Help Manage Your #Ozempic Side Effects,,"36 hours post initial dose. One of the worst symptoms after vomiting/nausea is HEADACHE from dehydration.  I have been taking tiny sips of peppermint tea and today added a few sips of vegetable broth with salt around 4PM but by midnight, am still burping broth taste! I know this medication slows the gut motility, but why isn't fluid being absorbed in the stomach, especially if I'm dehydrated? I've stuck with warm fluids b/c I know that's supposed to stimulate peristalsis. I've had 36 hours to think about how & why these symptoms are happening and how I could alleviate them. I'm wondering if by not being able to drink as much, if my HA is due in part to caffeine withdrawal. Ordered caffeine gum online to be delivered tomorrow. I'm used to having around 1-3 cups of hot tea per day (35mg caffeine ea.? roughly?) Also, this is a weird one, but is it possible that sugar-craving bacteria or yeast is dying off already and producing a HA b/c of toxins they release when their cells break apart? Maybe extra inflammation body-wide?",['dying'],,,,,,,,,,,,
yt_0033,youtube,data_raw/youtube_comments.jsonl,"""semaglutide nausea"" #shorts",Ozempic in the ER: Side Effects of GLP-1 Receptor Agonists,,"I had horrible mood effects, depressed, withdrawn, disconnected, brain fog etc..",['brain fog'],,,,,,,,,,,,
yt_0034,youtube,data_raw/youtube_comments.jsonl,"""semaglutide nausea"" #shorts",Ozempic in the ER: Side Effects of GLP-1 Receptor Agonists,,"Hi Doctor finally I have somewhat of an explanation as to what happened to me on GLP-1. I was taking it for 2 months and not only was I severely constipated (but didn't know it until my hospitalization) because I was still having bowel movements, but suddenly one day I felt nauseas and sick all night finally started vomiting in the morning the next day but the vomit was all fluids, bile, and eventually coffee grounds. I threw up like 5 times all liquid. Then I suddenly had a feeling of unquenchable thirst and everytime I tried to drink any water I would throw it back up. I also had all night pain and cramping from my waist down through my legs. After the dying of thirst feeling and inability to even sip water I called an ambulance (I live alone). Long story short still thirsty after 5 IVs (Im not diabetic), and also I take Suboxone so they did an abdominal xray right after I pooped in the E/R bathroom and the doctor said I was severely and dangerously impacted even though I pooped. She couldn't believe I had gone BEFORE the xrays. Well I had an anion gap and my blood PH was only 7.1 I had metabolic acidosis, lots of ketones/ketosis, then my blood pressure was really low, and I landed in the ICU. They gave me a nasty magnesium citrate drink and other laxatives and I basically 💩 my brains out multiple times. So my question is did I go into ketosis and metabolic acidosis because I was so constipated? Because I was eating food I wasnt starving myself but once I had the nausea I couldn't eat all day of course. By the time I was vomiting no food was in my stomach but I had eaten the day before so what exactly caused that ketosis and subsequent acidosis?  I cant take GLP-1 because between that and the suboxone the constipation gets so severe. Recently I landed in the hospital vomiting fluids non stop and unable to keep water down yet this time I did not have the ketosis or acidosis only the severe fecal impaction again. And I have no idea I'm impacted until they do an x-ray and tell me. Any feedback would be appreciated.",['dying'],,,,,,,,,,,,
yt_0035,youtube,data_raw/youtube_comments.jsonl,"""semaglutide nausea"" #shorts","HOW TO MINIMIZE OZEMPIC (GLP1) SIDE EFFECTS! (Ozempic, Wegovy, Mounjaro, Zepbound etc)",,"Injected lastnight 7.5 mg.. i didnt have issues on the previous doses. Today i had asmall meal , and laiddown in the park, well now 7 hours afterwards food is undigested, and coming up when I belch. Im miserable with a stomach of undigested food  . All i had is a cup of cooked high protein pasta and soya bits.",['cooked'],,,,,,,,,,,,
yt_0036,youtube,data_raw/youtube_comments.jsonl,"""fat burner review"" #shorts",3 Fat Loss Supplements that ACTUALLY Work #shorts,,"yohimbine tolerance is the problem...I am 230 so I would need 20 mg of that thing , I can only tolerate 5 mg . More than that and I feel like dying .",['dying'],,,,,,,,,,,,
yt_0037,youtube,data_raw/youtube_comments.jsonl,"""fat burner review"" #shorts",Viral Weight Loss Tape| Flat Tummy in 30 Days #shorts #youtubeshorts,,Excise kero fr body v fit honi naal he fresh v feel keruge Bina mehnat sy khuch nahi milta,['fr'],,,,,,,,,,,,
